acl 2.2.52-3
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20140629-2
linux 4.11.3-1
linux-api-headers 4.10.1-1
linux-firmware 20170422.ade8332-1
llvm-libs 4.0.0-3
lm_sensors 3.4.0-2
logrotate 3.12.2-1
lvm2 2.02.171-1
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
mdadm 4.0-1
mesa 17.1.1-1
mime-types 9-1
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-1
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
msgpack-c 2.1.1-1
mtdev 1.1.5-1
nano 2.8.4-1
ncurses 6.0+20170527-1
neovim 0.2.0-2
netctl 1.12-2
nettle 3.3-1
networkmanager 1.8.0-1
nodejs 8.1.0-1
noto-fonts 20170428-1
npm 4.6.1-1
npth 1.5-1
nspr 4.14-1
nss 3.30.2-1
oh-my-zsh-git r4318.1c958e02-1
opencore-amr 0.1.5-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssh 7.5p1-2
openssl 1.1.0.f-1
openssl-1.0 1.0.2.l-1
opus 1.1.5-1
orc 0.4.26+2+g249c709-1
p11-kit 0.23.5-1
pacman 5.0.1-5
pacman-mirrorlist 20170427-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.6+9+g92cc73c8-1
patch 2.7.5-1
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.23-1
perl 5.26.0-1
perl-error 0.17024-2
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
popt 1.16-8
procps-ng 3.3.12-1
psmisc 22.21-3
pygobject-devel 3.24.1-1
python 3.6.1-1
python-dbus-common 1.2.4-2
python-greenlet 0.4.12-1
python-msgpack 0.4.8-2
python-neovim 0.1.13-2
python2 2.7.13-2
python2-cairo 1.13.3-1
python2-dbus 1.2.4-2
python2-futures 3.1.1-1
python2-gobject 3.24.1-1
python2-greenlet 0.4.12-1
python2-msgpack 0.4.8-2
python2-neovim 0.1.13-2
python2-psutil 5.2.2-1
python2-six 1.10.0-3
python2-trollius 2.1-2
randrproto 1.5.0-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rofi 1.3.1-2
rxvt-unicode 9.22-3
rxvt-unicode-terminfo 9.22-3
s-nail 14.8.16-2
schroedinger 1.0.11-3
sdl2 2.0.5-3
sed 4.4-1
semver 5.3.0-1
shadow 4.4-3
shared-mime-info 1.8-1
slang 2.3.1a-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.19.3-1
startup-notification 0.12-5
sudo 1.8.20.p2-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
tar 1.29-2
terminator 1.91-5
terminus-font 4.40-3
texinfo 6.3-2
thin-provisioning-tools 0.6.3-1
tmux 2.5-1
ttf-dejavu 2.37-1
ttf-fantasque-sans 1.7.1-1
ttf-liberation 2.00.1-7
tzdata 2017b-1
unibilium 1.2.0-1
unzip 6.0-12
usbutils 008-1
util-linux 2.29.2-2
v4l-utils 1.12.5-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0628-1
vim-runtime 8.0.0628-1
virtualbox-guest-modules-arch 5.1.22-3
virtualbox-guest-utils 5.1.22-2
vte-common 0.48.3-1
vte3 0.48.3-1
wayland 1.13.0-1
wayland-protocols 1.7-1
wget 1.19.1-2
which 2.21-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-6
